target,dataset,model,feature,times_selected,selection_rate
2-clases,bow,logreg,internacionales_delta_cum_s3,1,0.2
2-clases,bow,logreg,policía_delta_cum_s8,1,0.2
2-clases,bow,logreg,ahora_diff_s3,1,0.2
2-clases,bow,logreg,locales_diff_s8,1,0.2
2-clases,bow,logreg,utilizadas_delta_cum_s10,1,0.2
2-clases,bow,logreg,duración_diff_s3,1,0.2
2-clases,bow,logreg,crimen_std_s6,1,0.2
2-clases,bow,logreg,detrás_delta_cum_s6,1,0.2
2-clases,bow,logreg,manifiesto_cum_s9,1,0.2
2-clases,bow,logreg,dir_cum_s9,1,0.2
2-clases,bow,logreg,manifiesto_cum_s8,1,0.2
2-clases,bow,logreg,detrás_mean_s6,1,0.2
2-clases,bow,logreg,detrás_std_s6,1,0.2
2-clases,bow,logreg,activa_delta_cum_s6,1,0.2
2-clases,bow,logreg,43_std_s6,1,0.2
2-clases,bow,logreg,sueldo_delta_cum_s6,1,0.2
2-clases,bow,logreg,tribunales_delta_cum_s6,1,0.2
2-clases,bow,logreg,sueldo_std_s6,1,0.2
2-clases,bow,logreg,actualmente_std_s2,1,0.2
2-clases,bow,logreg,actualmente_mean_s2,1,0.2
2-clases,bow,logreg,debería_delta_cum_s6,1,0.2
2-clases,bow,logreg,mantenga_delta_cum_s6,1,0.2
2-clases,bow,logreg,oficiales_std_s6,1,0.2
2-clases,bow,logreg,presentarse_cum_s6,1,0.2
2-clases,bow,logreg,oficiales_mean_s6,1,0.2
2-clases,bow,logreg,procesar_delta_cum_s6,1,0.2
2-clases,bow,logreg,partes_std_s7,1,0.2
2-clases,bow,logreg,colaboradores_mean_s6,1,0.2
2-clases,bow,logreg,colaboradores_std_s6,1,0.2
2-clases,bow,logreg,42_std_s6,1,0.2
2-clases,bow,logreg,oficiales_delta_cum_s6,1,0.2
2-clases,bow,logreg,42_mean_s6,1,0.2
2-clases,bow,logreg,exigir_std_s6,1,0.2
2-clases,bow,logreg,exigir_mean_s6,1,0.2
2-clases,bow,logreg,participación_mean_s6,1,0.2
2-clases,bow,logreg,procesar_mean_s6,1,0.2
2-clases,bow,logreg,personas involucradas_delta_cum_s6,1,0.2
2-clases,bow,logreg,posible_delta_cum_s6,1,0.2
2-clases,bow,logreg,personas involucradas_mean_s6,1,0.2
2-clases,bow,logreg,personas involucradas_std_s6,1,0.2
2-clases,bow,svc,environmental_cum_s6,3,0.6
2-clases,bow,svc,presentarse_delta_cum_s8,3,0.6
2-clases,bow,svc,armas fuego_cum_s9,3,0.6
2-clases,bow,svc,legítima_cum_s2,3,0.6
2-clases,bow,svc,sistemas_cum_s1,3,0.6
2-clases,bow,svc,tratamiento_cum_s2,3,0.6
2-clases,bow,svc,rss_cum_s2,3,0.6
2-clases,bow,svc,empíricos_mean_s8,3,0.6
2-clases,bow,svc,controla_cum_s7,3,0.6
2-clases,bow,svc,dirigido_cum_s2,3,0.6
2-clases,bow,svc,39_mean_s6,3,0.6
2-clases,bow,svc,completa_mean_s6,3,0.6
2-clases,bow,svc,desarrollo social_mean_s8,2,0.4
2-clases,bow,svc,públicos privados_std_s10,2,0.4
2-clases,bow,svc,verdadera_delta_cum_s3,2,0.4
2-clases,bow,svc,delictivos_cum_s2,2,0.4
2-clases,bow,svc,reporting_cum_s7,2,0.4
2-clases,bow,svc,desvía_mean_s10,2,0.4
2-clases,bow,svc,causal_delta_cum_s6,2,0.4
