target,dataset,model,fold,n_selected,selected_features,best_params
3-clases,forms,logreg,1,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 1, 'select__k': 'all'}"
3-clases,forms,logreg,2,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'select__k': 'all'}"
3-clases,forms,logreg,3,20,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | consecuencias__a_cum_s4 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | involucrados__h_std_s10 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | involucrados__b_cum_s9 | involucrados__b_mean_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'select__k': 20}"
3-clases,forms,logreg,4,20,emociones__b_delta_cum_s8 | emociones__b_std_s8 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | involucrados__h_std_s10 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6,"{'clf__C': 10, 'select__k': 20}"
3-clases,forms,logreg,5,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 10, 'select__k': 'all'}"
3-clases,forms,svc,1,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 'all'}"
3-clases,forms,svc,2,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 'all'}"
3-clases,forms,svc,3,20,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | consecuencias__a_cum_s4 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | involucrados__h_std_s10 | involucrados__h_mean_s10 | localidad_problema__c_delta_cum_s10 | involucrados__b_cum_s9 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}"
3-clases,forms,svc,4,20,emociones__b_delta_cum_s8 | emociones__b_std_s8 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | involucrados__h_std_s10 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}"
3-clases,forms,svc,5,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 'all'}"
3-clases,bow,logreg,1,10,inexistentes_cum_s3 | excepcional_mean_s1 | excepcional_std_s1 | violencia mujeres_cum_s9 | impiden_diff_s2 | urbanística_cum_s8 | sistemas_mean_s1 | falsa_std_s6 | dades_mean_s6 | unir_cum_s9,"{'clf__C': 10, 'select__k': 10}"
3-clases,bow,logreg,2,20,circulación_cum_s2 | sión_delta_cum_s3 | prostitución_cum_s8 | iniciado_cum_s2 | imparcial_cum_s2 | san martín_delta_cum_s3 | benefician_cum_s9 | debido proceso_cum_s2 | sobresueldos_cum_s8 | excepcional_cum_s1 | requiera_cum_s2 | personas físicas_cum_s2 | sión_delta_cum_s2 | imperio_std_s6 | inherentes_mean_s6 | omisiones_mean_s7 | modelos_mean_s6 | pública funcionario_std_s6 | capítulo_mean_s6 | interesados_mean_s6,"{'clf__C': 10, 'select__k': 20}"
