target,dataset,model,n_samples,n_features,n_classes,n_folds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,accuracy_all_folds,f1_all_folds,best_params_folds
2-clases,forms,logreg,18,19,2,2,0.7222222222222222,0.16666666666666663,0.623015873015873,0.2658730158730159,"[0.5555555555555556, 0.8888888888888888]","[0.35714285714285715, 0.888888888888889]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,forms,svc,18,19,2,2,0.7777777777777777,0.1111111111111111,0.7367521367521368,0.15213675213675215,"[0.6666666666666666, 0.8888888888888888]","[0.5846153846153846, 0.888888888888889]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
2-clases,robertuito,logreg,18,500,2,2,0.2222222222222222,0.2222222222222222,0.15384615384615385,0.15384615384615385,"[0.4444444444444444, 0.0]","[0.3076923076923077, 0.0]","[{'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 20}]"
2-clases,robertuito,svc,18,500,2,2,0.2222222222222222,0.0,0.22222222222222224,0.0,"[0.2222222222222222, 0.2222222222222222]","[0.22222222222222224, 0.22222222222222224]","[{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
2-clases,bow,logreg,18,16,2,2,1.0,0.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 5}]"
2-clases,bow,svc,18,16,2,2,1.0,0.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
3-clases,forms,logreg,18,19,3,2,0.6111111111111112,0.055555555555555525,0.5952380952380952,0.06190476190476191,"[0.5555555555555556, 0.6666666666666666]","[0.5333333333333333, 0.6571428571428571]","[{'clf__C': 10, 'clf__class_weight': None, 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 15}]"
3-clases,forms,svc,18,19,3,2,0.7777777777777777,0.1111111111111111,0.7873015873015872,0.09841269841269845,"[0.6666666666666666, 0.8888888888888888]","[0.6888888888888888, 0.8857142857142857]","[{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
3-clases,robertuito,logreg,18,500,3,2,0.2777777777777778,0.05555555555555555,0.2605820105820106,0.05423280423280424,"[0.2222222222222222, 0.3333333333333333]","[0.20634920634920637, 0.3148148148148148]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 20}]"
3-clases,robertuito,svc,18,500,3,2,0.3333333333333333,0.0,0.2994708994708995,0.040211640211640254,"[0.3333333333333333, 0.3333333333333333]","[0.25925925925925924, 0.33968253968253975]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}]"
3-clases,bow,logreg,18,16,3,2,0.5,0.16666666666666666,0.5,0.14999999999999994,"[0.3333333333333333, 0.6666666666666666]","[0.35000000000000003, 0.6499999999999999]","[{'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 5}]"
3-clases,bow,svc,18,16,3,2,0.6666666666666666,0.0,0.5798941798941799,0.06137566137566136,"[0.6666666666666666, 0.6666666666666666]","[0.5185185185185185, 0.6412698412698412]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
4-clases,forms,logreg,18,19,4,2,0.38888888888888884,0.05555555555555555,0.3857142857142857,0.022619047619047622,"[0.3333333333333333, 0.4444444444444444]","[0.3630952380952381, 0.4083333333333333]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
4-clases,forms,svc,18,19,4,2,0.6111111111111112,0.16666666666666669,0.5895833333333333,0.18124999999999997,"[0.7777777777777778, 0.4444444444444444]","[0.7708333333333333, 0.4083333333333333]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
4-clases,robertuito,logreg,18,500,4,2,0.16666666666666666,0.05555555555555555,0.11904761904761904,0.04761904761904761,"[0.2222222222222222, 0.1111111111111111]","[0.16666666666666666, 0.07142857142857144]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 10, 'clf__class_weight': None, 'select__k': 5}]"
4-clases,robertuito,svc,18,500,4,2,0.2222222222222222,0.0,0.1773809523809524,0.022619047619047622,"[0.2222222222222222, 0.2222222222222222]","[0.2, 0.15476190476190477]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
4-clases,bow,logreg,18,16,4,2,0.4444444444444444,0.11111111111111113,0.3833333333333333,0.1583333333333333,"[0.3333333333333333, 0.5555555555555556]","[0.225, 0.5416666666666666]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 10}]"
4-clases,bow,svc,18,16,4,2,0.5,0.05555555555555558,0.37916666666666665,0.012499999999999983,"[0.4444444444444444, 0.5555555555555556]","[0.39166666666666666, 0.3666666666666667]","[{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
2-clases,forms,logreg,18,19,2,3,0.8333333333333334,0.13608276348795434,0.8178571428571427,0.15328045524196382,"[0.6666666666666666, 0.8333333333333334, 1.0]","[0.625, 0.8285714285714285, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,forms,svc,18,19,2,3,0.8333333333333334,0.13608276348795434,0.8178571428571427,0.15328045524196382,"[0.8333333333333334, 0.6666666666666666, 1.0]","[0.8285714285714285, 0.625, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 15}]"
2-clases,robertuito,logreg,18,500,2,3,0.38888888888888884,0.07856742013183862,0.3055555555555555,0.03928371006591928,"[0.3333333333333333, 0.3333333333333333, 0.5]","[0.3333333333333333, 0.25, 0.33333333333333326]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 5}]"
2-clases,robertuito,svc,18,500,2,3,0.38888888888888884,0.07856742013183862,0.3055555555555555,0.03928371006591928,"[0.3333333333333333, 0.3333333333333333, 0.5]","[0.3333333333333333, 0.25, 0.33333333333333326]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 10}]"
2-clases,bow,logreg,18,16,2,3,0.9444444444444445,0.0785674201318386,0.9428571428571427,0.08081220356417688,"[0.8333333333333334, 1.0, 1.0]","[0.8285714285714285, 1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}]"
