target,dataset,model,n_samples,n_features,n_classes,n_folds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,accuracy_all_folds,f1_all_folds,best_params_folds
2-clases,forms,logreg,18,19,2,2,0.7222222222222222,0.16666666666666663,0.623015873015873,0.2658730158730159,"[0.5555555555555556, 0.8888888888888888]","[0.35714285714285715, 0.888888888888889]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,forms,svc,18,19,2,2,0.5555555555555556,0.0,0.35714285714285715,0.0,"[0.5555555555555556, 0.5555555555555556]","[0.35714285714285715, 0.35714285714285715]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}]"
2-clases,robertuito,logreg,18,500,2,2,0.3333333333333333,0.1111111111111111,0.24475524475524474,0.06293706293706296,"[0.4444444444444444, 0.2222222222222222]","[0.3076923076923077, 0.1818181818181818]","[{'clf__C': 10, 'clf__class_weight': None, 'select__k': 5}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,robertuito,svc,18,500,2,2,0.4444444444444444,0.11111111111111113,0.3035714285714286,0.053571428571428575,"[0.3333333333333333, 0.5555555555555556]","[0.25, 0.35714285714285715]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 10}]"
2-clases,bow,logreg,18,16,2,2,1.0,0.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 5}]"
2-clases,bow,svc,18,16,2,2,1.0,0.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
3-clases,forms,logreg,18,19,3,2,0.6111111111111112,0.055555555555555525,0.5873015873015872,0.05396825396825394,"[0.5555555555555556, 0.6666666666666666]","[0.5333333333333333, 0.6412698412698412]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
3-clases,forms,svc,18,19,3,2,0.6111111111111112,0.055555555555555525,0.5873015873015872,0.05396825396825394,"[0.5555555555555556, 0.6666666666666666]","[0.5333333333333333, 0.6412698412698412]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
3-clases,robertuito,logreg,18,500,3,2,0.2222222222222222,0.1111111111111111,0.20357142857142857,0.12023809523809526,"[0.1111111111111111, 0.3333333333333333]","[0.08333333333333333, 0.3238095238095238]","[{'clf__C': 1, 'clf__class_weight': None, 'select__k': 20}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
3-clases,robertuito,svc,18,500,3,2,0.2777777777777778,0.05555555555555555,0.1976190476190476,0.030952380952380953,"[0.2222222222222222, 0.3333333333333333]","[0.22857142857142856, 0.16666666666666666]","[{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 20}]"
