target,dataset,n_folds,logreg,svc
2-clases,bow,2,1.0,1.0
2-clases,bow,3,0.943,0.943
2-clases,bow,5,0.947,1.0
2-clases,forms,2,0.623,0.357
2-clases,forms,3,0.818,0.761
2-clases,forms,5,0.88,0.827
2-clases,robertuito,2,0.245,0.304
2-clases,robertuito,3,0.467,0.471
2-clases,robertuito,5,0.17,0.18
3-clases,bow,2,0.478,0.696
3-clases,bow,3,0.629,0.781
3-clases,bow,5,0.731,0.576
3-clases,forms,2,0.587,0.587
3-clases,forms,3,0.511,0.659
3-clases,forms,5,0.531,0.562
3-clases,robertuito,2,0.204,0.198
3-clases,robertuito,3,0.164,0.237
3-clases,robertuito,5,0.222,0.156
4-clases,bow,2,0.358,0.28
4-clases,bow,3,0.4,0.4
4-clases,bow,5,0.508,0.411
4-clases,forms,2,0.471,0.478
4-clases,forms,3,0.45,0.45
4-clases,forms,5,0.494,0.644
4-clases,robertuito,2,0.14,0.176
4-clases,robertuito,3,0.172,0.158
4-clases,robertuito,5,0.1,0.198
